id;email_server_host;email_server_port;user_name;password;servico_tls;servico_ssl;teste
1;zero defect;Granite;Program;deposit;false;false;false
2;Incredible Sleek Arizona;Shirt Architect Developer;Automotive;invoice;true;true;false
3;Borders;open-source Burundi;Music;Metal;true;false;true
4;Chips blue feed;communities;Officer Quality-focused invoice;Identity Lek Bedfordshire;true;true;true
5;Rhode Island Music Data;Dynamic Savings Account Branding;whiteboard payment Incredible;Chips Checking Account;false;true;true
6;Facilitator transmit;Iowa;Refined withdrawal copy;Kuwaiti Dinar solid state program;true;false;false
7;navigating Plastic Nigeria;firmware;seamless mesh;disintermediate Jordan Savings Account;true;false;false
8;Movies;Savings Account Pakistan Rupee;connect Berkshire;XSS Suriname;false;true;false
9;leading-edge enable synthesize;Operative Place;generate 1080p;capacitor Andorra overriding;false;false;true
10;Unbranded Frozen Bike invoice;Intelligent Frozen Shoes mission-critical;Shoes;Open-source multi-tasking;false;true;true
